country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,511,515,519,522,525,529,532,536,540,544,545,547,550,552,553,555,557,560,562,563,563,564,564,565,565,566,565,566,565,566,562,559,554,550,546,543,538,534,531,526,522,519,515,511,506,504,499,495,493,488,477,465,454,442,432,420,410,399,390,379,370,360,351,341,332,334,336,338,340,342,344,346,348,350,339,329,320,310,301,293,284,277,269,262,256,250,244,239,235,231,228,226,225,265,245,245,221,265,217,214,211,207,203,199,194,189,184,179,174,168,162,156,150,144,138,132,126,120,114,108,103,97.3,92.2,87.4,82.8,78.4,74.3,70.3,66.5,62.8,59.3,55.8,52.6,49.4,46.5,43.7,41.1,38.6,36.3,34.2,33.3,32
Brazil,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,416,416,415,415,414,413,413,412,411,410,409,408,407,406,405,404,403,402,401,400,399,398,397,396,395,394,393,392,391,391,382,375,366,358,351,344,337,329,322,316,301,288,276,263,251,243,236,228,221,214,212,208,204,201,197,191,186,181,176,171,167,162,158,154,151,147,144,141,137,134,131,127,123,120,117,113,110,106,102,97.2,93,88.8,84.9,81.2,77.9,74.9,72,69.4,66.8,64.2,61.4,58.4,55.3,52.2,49.1,46,43.2,40.6,38.1,35.8,33.6,31.5,29.6,27.8,26.1,24.5,23.2,21.9,20.8,19.8,18.9,18,17.2,16.4,15.7,15.1,14.7,14.2
China,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,430,444,457,471,486,500,492,481,473,464,456,447,438,430,429,427,425,423,421,419,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,416,416,415,415,414,413,413,412,411,410,409,408,407,406,405,404,403,402,401,400,399,398,397,396,395,394,393,392,391,391,384,377,370,363,357,350,346,341,336,332,331,329,328,326,325,323,322,320,319,317,312,306,301,296,291,270,251,233,268,309,262,168,148,131,115,121,126,132,119,114,108,102,96.7,91.1,85.5,80.1,74.9,70.3,66.3,62.8,59.9,57.7,56,54.8,54.2,53.9,53.9,54,54.1,53.9,53.3,52.3,50.9,49.3,47.5,45.5,43.6,41.5,39.3,36.9,34.3,31.6,28.9,26.3,24,21.9,20,18.4,17,15.7,14.6,13.5,12.5,11.5,10.7,9.9,10.2,9.95
Colombia,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,416,416,415,415,414,413,413,412,411,410,409,408,407,406,383,362,341,322,304,287,271,256,241,228,190,239,231,203,192,160,196,212,230,181,253,248,242,253,264,228,242,250,255,251,244,242,224,217,213,194,187,180,174,168,162,156,151,146,141,136,131,127,123,119,115,112,108,105,101,97.6,93.9,90.2,86.4,82.4,78.2,73.9,69.7,65.4,61.3,57.4,53.9,50.6,47.6,45,42.7,40.7,39,37.6,36.3,35.1,34,32.9,31.9,30.8,29.7,28.7,27.7,26.7,25.8,25,24.3,23.6,22.9,22.3,21.6,21,20.4,19.8,19.2,18.6,18,17.4,16.8,16.3,15.8,15.3,14.9,14.5
"Congo, Dem. Rep.",423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,422,422,422,422,421,421,420,420,419,419,418,417,416,415,414,413,412,411,410,409,408,407,406,405,404,403,402,401,400,399,398,397,396,395,395,394,393,392,391,391,390,389,388,387,378,370,362,353,345,337,329,321,313,306,304,300,297,293,290,287,284,282,279,277,275,273,270,268,265,262,259,256,252,248,245,241,237,234,230,226,222,217,214,210,207,203,200,198,195,192,190,188,186,184,182,180,178,176,174,172,187,185,182,160,156,151,147,142,137,133,128,124,120,116,112,108,104,101,97.6,94.3,92.5,90
Egypt,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,404,404,404,404,403,403,403,402,401,401,400,399,398,398,397,396,395,394,393,392,391,390,389,388,387,386,385,384,383,382,381,408,409,351,384,401,384,393,372,393,355,351,336,353,338,397,404,361,372,370,368,366,364,362,360,358,356,354,361,351,342,332,323,313,303,293,284,275,267,260,255,250,247,243,240,236,230,223,215,205,196,186,177,167,158,148,138,128,119,110,102,95.8,90.5,85.9,81.7,77.6,73.4,69.1,64.9,60.7,56.8,53.2,49.9,46.9,44.2,41.8,39.7,37.8,36.1,34.6,33.1,31.7,30.4,29.1,27.9,26.7,25.6,24.7,23.7,22.8,22,21.3
Ethiopia,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,447,447,447,447,446,446,445,444,444,443,442,441,440,439,438,437,436,435,434,433,432,431,429,428,427,426,425,424,423,422,421,420,419,416,414,411,408,406,403,401,398,395,393,390,388,385,383,380,370,359,348,339,329,327,323,318,313,308,302,295,289,282,275,269,263,257,252,248,244,244,244,243,243,243,243,242,243,243,243,243,242,241,240,238,235,231,227,223,219,215,211,207,203,199,193,188,181,174,168,161,155,150,144,137,131,124,117,110,104,97.1,91.2,85.9,80.9,76.2,72,68,64.4,61.3,58.4,56.3,53.9
France,412,407,401,396,391,385,380,368,356,344,333,322,312,302,292,282,273,283,294,312,285,287,309,289,306,306,304,284,313,284,283,284,298,287,338,277,259,274,287,268,261,263,270,269,252,237,272,258,265,301,238,262,265,244,298,279,269,285,282,347,243,291,258,275,265,283,253,263,288,274,300,344,255,267,242,246,240,237,249,235,257,244,248,248,260,240,250,243,242,229,251,236,250,249,226,228,203,207,228,234,224,207,197,194,202,191,200,184,182,167,160,204,157,163,155,166,164,181,222,178,168,155,119,134,119,127,134,118,127,130,109,105,106,100,97.7,91.8,92.4,89.8,89.5,85.7,115,94.2,96.5,101,105,136,97.3,82.8,65.1,70.2,57.2,53.4,49.7,46.3,43.2,40.2,37.4,34.8,32.4,30.3,28.5,27,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,15.9,15.4,15,14.5,13.9,13.4,12.8,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.3,9,8.6,8.1,7.5,7,6.5,6.1,5.8,5.6,5.5,5.4,5.2,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4,3.9,3.9,3.65,3.53
Germany,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,352,364,376,389,402,415,429,444,459,474,490,482,463,486,487,516,466,466,469,516,464,507,463,482,466,484,463,473,463,411,499,469,526,422,442,462,484,482,539,489,507,499,476,484,536,489,499,482,393,371,366,367,354,390,364,371,377,382,367,382,353,354,367,367,356,374,364,356,374,338,361,342,351,372,337,298,332,319,333,301,286,289,276,264,312,237,244,267,239,224,241,257,233,207,213,205,207,164,159,153,144,129,144,122,119,112,108,90.1,147,90,86.7,80.7,99.4,86.5,83.4,80.4,77.5,74.7,72.1,69.5,67,64.6,62.3,60,58.9,56.7,54.5,52.4,50.3,48.3,46.2,44.3,42.3,40.3,38.4,36.4,34.5,32.6,30.9,29.4,28.1,27.1,26.4,25.6,24.9,24,23.1,22,20.8,19.5,18.3,17.1,16,15,14.1,13.2,12.5,11.8,11.1,10.6,10,9.5,9,8.5,8,7.6,7.2,6.8,6.5,6.2,5.9,5.7,5.5,5.4,5.2,5.1,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.8,3.29,3.05
India,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,511,512,514,515,517,520,522,523,525,526,528,529,531,531,532,534,535,536,536,537,512,488,466,444,423,403,385,367,350,333,338,317,345,329,329,333,434,364,317,322,284,286,307,283,307,272,281,289,294,292,277,281,309,273,270,272,281,263,271,269,279,284,291,260,266,272,278,284,290,287,282,277,272,268,263,259,254,250,246,242,238,235,232,228,225,222,219,216,213,210,206,202,198,194,189,184,178,173,168,163,158,153,149,145,141,137,133,130,126,122,119,116,113,109,106,102,98.7,95.1,91.5,87.9,84.4,81,77.7,74.4,71.2,68,64.9,61.9,58.8,55.9,53,50.3,47.7,45.2,43,42.4,41.1
