country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.68,6.66,6.64,6.63,6.61,6.59,6.57,6.55,6.53,6.51,6.49,6.48,6.46,6.44,6.42,6.4,6.38,6.36,6.35,6.33,6.31,6.29,6.27,6.25,6.23,6.27,6.33,6.39,6.45,6.5,6.56,6.6,6.65,6.69,6.73,6.76,6.79,6.83,6.85,6.88,6.9,6.92,6.94,6.95,6.95,6.94,6.93,6.9,6.87,6.82,6.76,6.68,6.59,6.48,6.36,6.22,6.06,5.89,5.71,5.52,5.33,5.13,4.93,4.74,4.55,4.37,4.2,4.03,3.88,3.73,3.6,3.47,3.35,3.23,3.12,3.01,2.91,2.8,2.7,2.61,2.52,2.44,2.38,2.32,2.28,2.24,2.21,2.18,2.16,2.13,2.1,2.08,2.05
Brazil,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.27,6.27,6.28,6.29,6.29,6.3,6.29,6.28,6.27,6.26,6.25,6.24,6.23,6.22,6.21,6.2,6.19,6.18,6.17,6.16,6.11,6.05,5.99,5.93,5.88,5.82,5.76,5.78,5.8,5.81,5.83,5.85,5.86,5.88,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.92,5.95,5.98,6.01,6.04,6.07,6.09,6.12,6.15,6.18,6.17,6.15,6.14,6.14,6.14,6.16,6.18,6.2,6.21,6.21,6.19,6.14,6.06,5.95,5.82,5.66,5.49,5.33,5.17,5.02,4.9,4.78,4.68,4.59,4.5,4.42,4.34,4.26,4.17,4.07,3.97,3.85,3.72,3.59,3.45,3.31,3.17,3.04,2.92,2.81,2.72,2.64,2.58,2.54,2.5,2.49,2.46,2.43,2.37,2.3,2.23,2.16,2.1,2.03,1.98,1.93,1.88,1.85,1.82,1.81,1.79,1.78,1.77,1.75,1.74,1.73,1.71,1.7
China,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.48,5.45,5.43,5.4,5.38,5.35,5.33,5.3,5.28,5.25,5.15,5.06,4.96,4.86,4.77,5,5.2,4.91,5.54,5.29,5.26,5.97,5.67,5.96,5.98,5.61,6.21,5.5,4.27,3.99,3.28,5.97,7.41,6.12,6.02,6.21,5.25,6.37,5.67,5.75,5.4,4.92,4.51,4.15,3.58,3.25,2.87,2.74,2.8,2.32,2.67,2.58,2.58,2.62,2.66,2.68,2.65,2.59,2.49,2.35,2.19,2.02,1.87,1.74,1.64,1.57,1.53,1.5,1.49,1.5,1.51,1.52,1.54,1.55,1.57,1.57,1.58,1.58,1.59,1.59,1.59,1.6,1.6,1.61,1.62,1.62,1.63,1.64
Colombia,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.21,6.23,6.25,6.27,6.29,6.32,6.34,6.34,6.34,6.34,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.36,6.38,6.39,6.41,6.42,6.43,6.44,6.45,6.46,6.47,6.42,6.37,6.33,6.28,6.24,6.22,6.19,6.17,6.15,6.13,6.13,6.12,6.12,6.11,6.11,6.13,6.16,6.19,6.22,6.25,6.42,6.6,6.77,6.77,6.76,6.75,6.75,6.76,6.77,6.78,6.79,6.8,6.81,6.8,6.78,6.74,6.67,6.57,6.43,6.25,6.03,5.8,5.55,5.3,5.07,4.86,4.68,4.52,4.4,4.28,4.18,4.07,3.97,3.86,3.74,3.63,3.53,3.42,3.32,3.23,3.14,3.07,2.99,2.93,2.86,2.79,2.73,2.66,2.6,2.54,2.48,2.43,2.39,2.35,2.31,2.27,2.24,2.2,2.16,2.12,2.08,2.04,2.01,1.98,1.95,1.92,1.9,1.87,1.85,1.83,1.82
"Congo, Dem. Rep.",5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.98,5.98,5.97,5.97,5.97,5.98,5.98,5.99,6,6.02,6.03,6.05,6.07,6.09,6.11,6.14,6.16,6.19,6.21,6.24,6.27,6.3,6.33,6.37,6.4,6.44,6.49,6.54,6.59,6.64,6.69,6.74,6.79,6.85,6.9,6.96,7.02,7.08,7.13,7.17,7.19,7.2,7.19,7.18,7.15,7.11,7.06,7.02,6.96,6.91,6.86,6.81,6.76,6.71,6.66,6.61,6.57,6.52,6.47,6.42,6.36,6.3,6.24,6.17,6.09,6.02,5.92
Egypt,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.03,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,5.99,5.97,5.94,5.97,5.99,6.02,6.05,6.08,6.08,6.07,6.07,6.07,6.07,6.15,6.24,6.33,6.42,6.51,6.4,6.29,6.18,6.08,5.97,5.95,5.93,5.91,5.9,5.88,5.92,5.97,6.01,6.05,6.1,6.21,6.32,6.43,6.54,6.65,6.66,6.69,6.71,6.72,6.73,6.74,6.74,6.74,6.73,6.72,6.7,6.67,6.65,6.62,6.58,6.53,6.47,6.4,6.32,6.23,6.14,6.06,5.97,5.9,5.83,5.78,5.73,5.68,5.64,5.6,5.56,5.53,5.49,5.44,5.38,5.29,5.18,5.03,4.86,4.66,4.46,4.25,4.05,3.87,3.71,3.57,3.46,3.37,3.29,3.23,3.18,3.13,3.09,3.05,3.02,3,3.02,3.06,3.11,3.19,3.25,3.31,3.34,3.34,3.31,3.27,3.21,3.15
Ethiopia,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.18,7.18,7.19,7.2,7.21,7.21,7.22,7.23,7.23,7.24,7.25,7.26,7.26,7.27,7.28,7.29,7.29,7.3,7.31,7.31,7.32,7.33,7.34,7.34,7.35,7.3,7.2,7.12,7.05,6.99,6.95,6.92,6.9,6.89,6.88,6.88,6.88,6.87,6.87,6.86,6.87,6.88,6.9,6.94,6.98,7.02,7.06,7.09,7.12,7.14,7.17,7.2,7.23,7.27,7.32,7.36,7.4,7.42,7.44,7.44,7.42,7.39,7.35,7.3,7.25,7.19,7.14,7.09,7.05,7,6.94,6.86,6.77,6.66,6.53,6.38,6.22,6.04,5.87,5.69,5.52,5.36,5.2,5.06,4.92,4.8,4.68,4.56,4.44,4.32,4.2,4.08,3.97
France,4.41,4.36,4.31,4.26,4.21,4.16,4.1,4.05,4,3.95,3.9,3.89,3.89,3.88,3.88,3.87,3.86,3.86,3.85,3.85,3.84,3.83,3.82,3.8,3.79,3.78,3.77,3.76,3.74,3.73,3.72,3.7,3.69,3.67,3.65,3.64,3.62,3.6,3.59,3.57,3.56,3.55,3.54,3.53,3.53,3.52,3.51,3.51,3.5,3.49,3.49,3.45,3.42,3.38,3.31,3.24,3.4,3.36,3.46,3.61,3.4,3.51,3.46,3.53,3.51,3.53,3.53,3.55,3.49,3.49,3.44,3.08,3.59,3.51,3.53,3.51,3.57,3.49,3.44,3.44,3.36,3.4,3.4,3.38,3.38,3.32,3.26,3.22,3.16,3.12,2.95,3.03,2.96,3.02,2.94,2.86,2.98,2.92,2.87,2.88,2.8,2.9,2.85,2.78,2.75,2.71,2.7,2.58,2.64,2.56,2.57,2.46,2.49,2.47,2.34,1.52,1.23,1.34,1.56,1.59,2.69,2.6,2.42,2.41,2.36,2.39,2.37,2.29,2.31,2.24,2.3,2.25,2.23,2.11,2.14,2.07,2.09,2.1,2.13,2.17,2,1.85,2.04,2.19,2.25,2.31,3,3.04,3.02,3,2.83,2.81,2.76,2.72,2.7,2.68,2.69,2.7,2.72,2.74,2.77,2.8,2.81,2.81,2.8,2.77,2.73,2.68,2.62,2.56,2.49,2.41,2.33,2.24,2.15,2.06,1.98,1.92,1.88,1.85,1.84,1.84,1.84,1.85,1.85,1.84,1.83,1.81,1.79,1.77,1.75,1.74,1.72,1.72,1.72,1.72,1.73,1.75,1.77,1.79,1.82,1.84,1.87,1.89,1.92,1.94,1.96,1.97,1.98,1.99,1.99,1.99,1.99,1.98,1.98,1.98,1.98,1.98,1.97
Germany,5.4,5.4,5.39,5.39,5.38,5.38,5.37,5.37,5.36,5.36,5.35,5.35,5.34,5.34,5.33,5.33,5.32,5.32,5.33,5.35,5.37,5.35,5.33,5.31,5.28,5.26,5.17,5.07,4.97,4.88,4.78,4.8,4.83,4.85,4.88,4.9,4.9,4.9,4.9,4.9,4.9,4.92,4.95,4.97,5,5.02,5.02,5.02,5.01,5.01,5.01,4.87,4.74,4.6,4.47,4.33,4.45,4.56,4.67,4.79,4.9,4.93,4.96,5,5.03,5.06,5.09,5.11,5.13,5.16,5.18,5.24,5.3,5.35,5.41,5.46,5.38,5.3,5.22,5.14,5.06,5.14,5.21,5.29,5.28,5.26,5.25,5.23,5.22,5.21,5.2,5.18,5.17,5.16,5.14,5.11,5.09,5.06,5.04,4.99,4.93,4.88,4.82,4.77,4.68,4.6,4.51,4.43,4.34,4.18,4.01,3.85,3.68,3.52,3.27,3.02,2.76,2.51,2.26,2.33,2.4,2.48,2.55,2.62,2.42,2.21,2.1,1.98,1.99,1.93,1.88,1.71,1.62,1.58,1.93,2.03,2.07,2.09,2.25,2.39,2.4,2.25,1.83,2,1.89,1.53,2.01,2.04,2.1,2.16,2.08,2.09,2.11,2.14,2.17,2.2,2.23,2.27,2.31,2.35,2.4,2.43,2.47,2.49,2.5,2.48,2.44,2.37,2.28,2.17,2.04,1.92,1.8,1.7,1.62,1.56,1.53,1.5,1.49,1.48,1.47,1.47,1.46,1.46,1.46,1.45,1.44,1.43,1.41,1.38,1.36,1.34,1.32,1.31,1.31,1.31,1.32,1.33,1.34,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.36,1.36,1.37,1.38,1.39,1.41,1.42,1.43,1.44,1.45,1.46,1.47,1.48
India,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.92,5.89,5.86,5.82,5.79,5.76,5.76,5.75,5.75,5.75,5.75,5.74,5.74,5.74,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.71,5.71,5.71,5.71,5.71,5.7,5.7,5.7,5.71,5.72,5.73,5.74,5.76,5.77,5.78,5.79,5.8,5.81,5.82,5.83,5.85,5.86,5.87,5.88,5.89,5.91,5.92,5.93,5.93,5.93,5.93,5.92,5.92,5.92,5.92,5.92,5.92,5.92,5.91,5.91,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.91,5.9,5.89,5.88,5.86,5.83,5.79,5.75,5.7,5.65,5.59,5.52,5.44,5.36,5.28,5.19,5.11,5.03,4.96,4.89,4.83,4.77,4.7,4.64,4.56,4.48,4.4,4.31,4.22,4.13,4.05,3.96,3.88,3.8,3.72,3.65,3.58,3.51,3.45,3.38,3.31,3.24,3.18,3.11,3.04,2.97,2.9,2.82,2.75,2.67,2.6,2.53,2.48,2.43,2.38,2.35,2.33,2.3,2.28
