country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25,24,25.2,25.5,25.5,25.5,25.5,25.5,25.5,25.4,25.4,25.4,25.4,25.1,24.9,24.6,24.4,24.1,23.9,23.6,23.4,23.2,22.9,22.8,22.6,22.5,22.4,21.3,20.6,22,21.8,21.6,19.6,18.6,21.4,21.3,21.3,21.2,21.1,21.1,21,21,20.9,21.1,21.2,21.4,21.5,21.7,21.8,21.9,22.1,22.2,22.4,22.5,12.6,22.8,23,23.1,23.3,23.4,23.6,23.7,23.8,24.5,25.2,25.9,26.6,27.3,28,28.7,29.4,30.1,30.8,31.4,32.1,32.8,33.5,34.2,32,22.3,24.5,35,40.5,34.9,36.3,39.5,40.3,40.4,40.7,41,41.3,41.7,42,42.5,42.9,43.3,43.8,44.3,44.9,45.3,45.8,46.1,46.1,45.9,45.4,44.7,44,44.4,52.1,52.1,51.5,52.4,52.6,52.8,53.1,53.5,53.8,54.1,54.4,54.8,55.3,55.3,56.2,56.7,57.1,58,58.1,56.5,59.8,60.5,61.3,61.7,62.6,63.5,64.3,65.2,65.5,66,66.5,67.1,67.6,68,68.5,68.9,69.5,70.1,70.4,71,71.3,71.6,72,72.4,72.8,73.1,73.4
Brazil,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.6,32.6,32.6,32.6,32.6,32.6,27.5,32.7,32.7,32.7,32.7,32.7,32.7,32.8,32.8,32.8,32.8,32.8,32.8,33.3,33.8,34.3,34.8,35.3,35.8,36.3,36.8,37.3,37.8,38.9,40.1,41.3,42.5,43.7,45.3,46.9,48.5,50.1,51.8,52,52.6,53.1,53.6,54.2,54.7,55.2,55.8,56.3,56.8,57.4,57.9,58.4,58.8,59.3,59.7,60.1,60.6,61,61.4,61.8,62.3,62.7,63.2,63.6,64.1,64.6,65.1,65.5,65.9,66.3,66.4,66.6,66.7,67,67.4,67.7,68,68.4,68.5,68.8,69,69.2,69.5,69.7,70,70.4,70.8,71.1,71.4,71.8,72.1,72.4,72.7,73,73.3,73.5,73.8,74,74.2,74.4,74.7,74.9,75,75.2,75.3,75.5,75.7
China,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,30,29,28,27,26,26.7,27.4,28.1,28.9,29.6,30.3,31,31.7,31.7,31.8,31.8,31.9,31.9,32,32,32,32,32,32,29.4,27.4,25.1,28.4,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.6,31.6,31.6,31.6,31.6,31.6,22.1,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.9,25.3,32.6,29.4,33.3,33.7,34,34.4,34.8,35.2,35.6,33.4,33.3,33.5,33.7,33.4,31.4,28.5,34.3,36.3,37.8,38.8,39.3,39.8,40.7,41.7,42.6,43.6,45.5,47,49.3,49.4,49,37.5,30.9,33.3,43.5,50.7,52,54.3,55.4,56.9,57.9,59.4,61,61.6,62.1,62.6,63,63.3,62.8,63.6,63.9,64,64.2,64.3,64.9,65.3,65.7,66.1,66.3,66.6,66.7,66.7,67,67.3,67.5,67.7,68,68.4,68.7,69,69.3,69.7,70,70.3,70.7,71.3,71.9,72.4,73,73.5,73.8,74.3,74.6,75.1,75.4,75.7,75.9,76.3,76.6,76.8,76.9
Colombia,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32.1,32.1,32.1,32.2,32.2,32.2,32.2,32.3,32.3,32.3,32.4,32.4,32.4,32.4,32.5,32.5,32.5,32.5,32.6,32.6,32.6,32.6,32.7,32.7,32.7,32.7,32.8,32.8,32.8,32.9,32.9,32.9,32.9,33,33,33,33,33.1,33.1,33.1,33.1,33.2,33.2,33.2,33.3,29.4,33.3,33.3,33.4,33.4,33.4,33.4,33.5,33.5,33.5,33.5,33.6,33.6,34.2,34.9,35.5,36.1,36.8,37.4,38,38.7,39.6,40.6,41.5,42.5,43.5,44.4,45.6,46.8,48,49.2,50.4,51.6,52.3,53.6,54.8,55.9,57,57.9,58.8,59.6,60.3,61,61.6,62.2,62.7,63.3,63.8,64.2,64.7,65.1,65.6,66,65.9,65.4,65.3,65.6,66.4,66.9,67.9,68.1,68.3,69,69.4,70,70.2,70.6,68,70.6,70.6,70.8,71,71.4,71.1,71.1,71.4,71.6,72,72.2,72.7,73,73,73.3,73.4,73.6,74.3,74.6,75,75.2,75.8,76,76.2,76.4,77,77.3,77.7,77.9,78,78.2,78.4,78.6
"Congo, Dem. Rep.",31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.7,31.7,31.8,31.8,31.9,31.9,32,32,32.1,32.1,32.1,32.2,32.3,32.3,32.3,32.4,32.4,32.5,32.5,32.6,32.6,32.7,32.7,32.8,32.8,32.9,32.9,32.9,33,33,33.1,33.1,33.2,33.2,33.3,33.3,33.4,33.4,33.5,33.5,33.5,33.6,33.6,33.7,33.7,33.8,9.68,33.9,33.9,34,34,34,34.1,34.1,34.2,34.2,34.3,34.3,34.4,34.4,34.5,34.5,34.5,34.6,34.6,34.7,34.7,34.8,34.8,35.6,36.4,37.2,38,38.8,39.6,40.4,41.2,42,42.8,43.1,43.6,44,44.4,44.8,45.2,45.5,45.9,46.2,46.5,46.8,47.1,47.4,47.8,48.1,48.5,48.9,49.4,49.9,50.3,50.6,50.8,51.1,51.5,51.6,51.8,52,52.2,52.5,52.6,52.8,53.1,53.4,53.9,54.2,54.3,54.2,54.2,54.1,53.8,53.6,53.6,53.5,53.2,53.1,51.1,52.5,52.6,53.1,53.4,53.6,53.8,54,54.9,55.4,55.9,56.1,56.5,56.9,57.5,58,58.5,59.3,60.1,60.9,61.6,62,62.4
Egypt,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,25.1,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,30.5,30.4,35.1,32.3,30.8,32,31.3,32.9,31,34.2,34.5,35.7,34.1,35.4,30.2,29.5,33.1,32,34.1,35.8,35.9,36.3,38.1,38.8,40.2,41.4,42.6,43.7,44.6,45.5,46.2,46.9,47.5,48.1,48.6,49.1,49.5,50,50.4,50.7,51,51.3,51.5,52.5,52.7,53,54,54.8,55.5,56.2,57.1,58.1,58.8,59.2,59.8,60.4,61.2,61.1,61.9,62.3,64,64.7,65.3,65.5,66.2,66.7,67,67.7,68.1,68.4,69,69.4,69.9,69.7,69.8,69.9,70.1,70.3,70.3,70.5,70.5,70.4,70.5,70.9,71,71.5,71.8,71.9,72.2,72.4,72.6
Ethiopia,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,28,27,26,27,29.7,29.7,29.7,28,27,26,27,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,26,25,24,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.8,27.1,26.1,29.8,29.8,29.8,29.8,29.8,29.8,17.1,5.02,4.01,8.03,14.1,29.8,29.8,29.6,28.8,29.8,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,11.6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27.8,23.3,29.4,29.4,29.4,28.4,28.4,30.1,30.1,30.1,30.1,30.8,31.6,32.3,33,33.8,34,34.3,34.8,35.3,35.8,36.4,33.5,31.5,38.3,39,39.7,40.4,41,40.9,39.7,40.7,42.8,43.1,43.4,43.7,43.8,44,43.5,43.5,43.6,43.5,43.5,43.6,44.5,44.6,44.8,45,40.9,41.4,45.9,46.4,47,47.3,47.1,46.6,48.2,48.9,49.3,49.6,49.9,50.5,51,51.5,51.1,51.1,53.1,53.9,54.5,55.3,56.1,57.1,58.2,59.4,60.4,61.3,62.2,63.1,63.9,64.6,65.2,65.6,66,66.4
France,34,36.4,34.4,30.6,29.4,34.9,35,34.2,34.5,35,37.4,36.1,31.7,31.2,30.1,36.5,40,39.2,38.5,37.3,39.2,39.8,38.3,40,39.1,38.5,37.8,39.4,37.5,39.4,39.6,39.6,35.8,38.8,35,39.5,42,39.4,39.3,40.9,40.4,40.7,40,40.8,42.3,43.6,40.7,40.4,40.3,35.9,43.3,41.8,41.3,42.5,36.1,37.5,40.2,39.6,39.7,35.3,43.3,40.5,42.7,41.7,42,40.2,41.8,42.3,40.2,41.1,36.4,29.6,42.6,41.8,44.3,43.2,43.6,44.3,43.4,44,42.8,43.6,43.2,43.3,42.5,44,43.2,43.8,44.2,45.6,43.4,44.1,43.6,43.6,45.6,45.3,47.6,48,46,45.3,45.1,47.1,48.1,48.5,48.1,48.4,47.8,48.4,49.4,50.1,51.5,48.3,51.7,51.4,37.9,35.7,39.6,42.7,34.4,47.6,51.7,52.8,55,54.8,55.4,54.5,54.2,55.9,55.6,54.4,57,57.1,57.4,57.9,58.5,58.5,59,59.3,59.1,59.8,49.6,57.8,57.6,53.5,47.3,55.1,62.6,64.2,66,65.1,66.6,66.3,67.6,67.6,68.5,68.7,68.8,69.2,70.4,70.5,70.7,71.3,70.8,70.6,71.6,71.4,71.8,71.8,71.8,71.6,72.5,72.6,72.8,73,73.2,73.2,73.5,73.9,74.1,74.4,74.6,74.8,75,75.3,75.6,75.8,76.1,76.4,76.7,76.9,77.2,77.3,77.6,77.7,77.9,78.1,78.3,78.6,78.7,78.9,79.1,79.3,79.5,79.7,80.1,80.3,80.6,80.8,81,81.2,81.4,81.7,81.8,82,82.2,82.2,82.3,82.5,82.6
Germany,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.5,38.6,38.7,38.8,38.9,39,39.1,39.2,39.3,39.4,39.7,40,40.3,40.6,40.9,41.2,41.5,41.8,42.1,42.4,42.7,43,43.3,43.6,43.9,44.2,44.5,44.8,45.1,45.4,46,46.6,47.2,47.8,48.4,49,49.6,50.1,46.1,40.5,39,40.1,32.9,48.3,53.5,55,55.6,56.2,56.8,57.4,57.8,58.2,58.6,59,59.4,59.8,60.2,60.6,61,61.5,61.7,62,62.3,61,60.6,59,55,49.6,37,29,60.5,62,63.6,65.2,66.8,67,67.3,67.6,67.9,68.2,68.5,68.4,69.1,69.3,69.2,69.8,69.9,70,70.6,70.5,70.7,70.9,70.5,70.4,70.6,70.7,70.9,71.1,71.3,71.5,71.9,72.3,72.5,72.8,73,73.2,73.4,73.7,74,74.2,74.5,74.7,74.9,75.2,75.3,75.5,75.8,76,76.2,76.5,76.7,77,77.3,77.6,77.9,78.2,78.4,78.6,78.9,79.2,79.4,79.6,79.8,79.9,80.1,80.3,80.4,80.5,80.8,80.8,80.9,81.1,81.3
India,25.4,25.4,25,24,23.5,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23,22,25.4,25.4,25.4,24.3,23.9,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23,22,25.4,25.4,25.3,25.3,21,25.3,25.3,21.3,25.4,25.4,25.4,25.4,25.4,25.1,20,19,20,25.4,25.4,25.4,25.3,25.2,25.1,25,24.9,24.8,24.4,24.3,24.4,23.1,22.7,24.1,24.1,24,22.8,19.9,25.8,23.4,18.4,23.1,23.6,23.4,22,21.9,21.9,19.3,23.3,23.2,23.2,23.2,23.4,23.6,23.8,23.9,24.1,24.3,8.12,24.6,24.8,24.9,25.3,25.8,26.2,26.7,27.1,27.6,28,28.5,28.9,29.4,29.7,30,30.4,30.7,31,31.4,31.7,32,32.3,32.7,32.9,32.2,32.7,33.7,33.9,32.5,34.2,34.7,34.9,35.3,35.9,36.6,37.3,38,38.7,39.4,40.1,40.8,41.5,42.2,43,43.7,44.5,45.3,46,46.8,47.5,48.3,49,49.5,49.9,50.5,51,51.5,52.1,52.6,53.3,53.9,54.4,55,55.5,56,56.4,56.8,57.3,57.7,58.1,58.6,59,59.4,59.7,60,60.4,60.8,61.1,61.3,61.6,62,62.3,62.7,63.1,63.5,63.8,64.2,64.6,65,65.4,65.8,66.2,66.6,67,67.4,67.8,68.2,68.6,68.9,69.1
