country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bangladesh,19200000,19300000,19300000,19300000,19400000,19400000,19500000,19500000,19500000,19600000,19600000,19700000,19700000,19700000,19800000,19800000,19900000,19900000,20000000,20100000,20100000,20200000,20300000,20300000,20400000,20500000,20500000,20600000,20700000,20800000,20900000,21000000,21100000,21100000,21200000,21300000,21400000,21500000,21600000,21700000,21800000,21900000,22000000,22100000,22100000,22200000,22300000,22400000,22500000,22600000,22700000,22800000,22900000,23000000,23100000,23200000,23300000,23400000,23500000,23600000,23700000,23800000,23900000,24000000,24100000,24200000,24300000,24400000,24500000,24600000,24800000,24900000,25000000,25100000,25300000,25400000,25500000,25700000,25800000,25900000,26100000,26200000,26400000,26500000,26700000,26800000,27000000,27100000,27300000,27500000,27600000,27800000,27900000,28100000,28300000,28400000,28600000,28700000,28900000,29100000,29200000,29400000,29600000,29700000,29900000,30100000,30200000,30400000,30600000,30800000,30900000,31100000,31300000,31500000,31600000,31800000,31900000,32100000,32200000,32400000,32600000,32700000,32900000,33100000,33200000,33400000,33600000,33700000,33900000,34100000,34400000,34700000,35000000,35300000,35600000,35900000,36200000,36500000,36800000,37100000,37400000,37600000,37700000,37700000,37600000,37500000,37500000,37500000,37500000,37500000,37900000,38700000,39500000,40300000,41200000,42100000,43200000,44300000,45500000,46800000,48200000,49600000,51000000,52500000,54100000,55800000,57700000,59600000,61600000,63400000,65000000,66400000,67600000,68700000,69900000,71300000,73000000,74900000,77000000,79200000,81500000,83700000,86000000,88300000,90700000,93200000,95700000,98300000,101000000,104000000,106000000,109000000,111000000,114000000,116000000,119000000,121000000,124000000,126000000,129000000,132000000,134000000,137000000,139000000,141000000,143000000,145000000,147000000,149000000,150000000,152000000,154000000,156000000,158000000,159000000,161000000,163000000,165000000,166000000
Brazil,3640000,3680000,3720000,3760000,3800000,3840000,3880000,3920000,3960000,4010000,4060000,4100000,4150000,4200000,4250000,4300000,4350000,4410000,4460000,4520000,4580000,4640000,4710000,4780000,4840000,4910000,4990000,5060000,5140000,5220000,5300000,5390000,5470000,5560000,5650000,5740000,5830000,5920000,6010000,6110000,6210000,6310000,6400000,6510000,6610000,6710000,6820000,6920000,7030000,7140000,7250000,7370000,7480000,7600000,7720000,7840000,7960000,8080000,8210000,8340000,8470000,8600000,8730000,8870000,9020000,9160000,9320000,9470000,9630000,9800000,9960000,10100000,10300000,10500000,10700000,10900000,11100000,11200000,11500000,11700000,11900000,12100000,12300000,12600000,12800000,13000000,13300000,13500000,13800000,14100000,14400000,14700000,15100000,15400000,15800000,16100000,16500000,16900000,17300000,17700000,18100000,18500000,18900000,19300000,19800000,20200000,20600000,21000000,21500000,21900000,22400000,22900000,23400000,23900000,24400000,24900000,25400000,26000000,26500000,27100000,27700000,28200000,28800000,29400000,30000000,30600000,31200000,31900000,32500000,33200000,33900000,34600000,35300000,36000000,36800000,37500000,38300000,39100000,39900000,40700000,41500000,42500000,43500000,44500000,45600000,46700000,47800000,48900000,50100000,51900000,54000000,55600000,57300000,59000000,60800000,62600000,64400000,66200000,68200000,70100000,72200000,74400000,76600000,78900000,81200000,83500000,85800000,88200000,90600000,92900000,95300000,97700000,100000000,103000000,105000000,108000000,110000000,113000000,116000000,118000000,121000000,124000000,127000000,130000000,133000000,136000000,138000000,141000000,144000000,147000000,149000000,152000000,155000000,157000000,160000000,162000000,165000000,168000000,170000000,173000000,175000000,178000000,180000000,182000000,185000000,187000000,189000000,191000000,193000000,195000000,197000000,199000000,201000000,202000000,204000000,206000000,208000000,209000000,211000000
China,322000000,324000000,327000000,330000000,333000000,336000000,338000000,341000000,344000000,347000000,351000000,353000000,356000000,359000000,362000000,365000000,368000000,371000000,374000000,377000000,380000000,383000000,386000000,388000000,391000000,393000000,395000000,397000000,399000000,401000000,402000000,404000000,405000000,406000000,407000000,408000000,409000000,410000000,411000000,411000000,411000000,411000000,411000000,411000000,410000000,409000000,408000000,407000000,406000000,404000000,403000000,401000000,399000000,397000000,395000000,393000000,391000000,389000000,386000000,384000000,381000000,379000000,376000000,374000000,372000000,371000000,369000000,368000000,367000000,366000000,366000000,365000000,365000000,364000000,364000000,365000000,365000000,366000000,366000000,368000000,369000000,370000000,371000000,372000000,373000000,374000000,376000000,377000000,378000000,380000000,381000000,383000000,385000000,387000000,388000000,390000000,392000000,394000000,397000000,399000000,401000000,403000000,405000000,407000000,410000000,412000000,414000000,416000000,419000000,422000000,425000000,428000000,433000000,438000000,443000000,447000000,452000000,457000000,462000000,468000000,472000000,474000000,476000000,478000000,479000000,481000000,483000000,485000000,486000000,488000000,490000000,493000000,497000000,500000000,503000000,506000000,509000000,511000000,514000000,517000000,520000000,522000000,525000000,528000000,531000000,533000000,536000000,539000000,542000000,546000000,554000000,570000000,582000000,593000000,602000000,611000000,620000000,629000000,638000000,648000000,658000000,668000000,680000000,692000000,706000000,723000000,741000000,761000000,782000000,804000000,825000000,845000000,866000000,885000000,904000000,921000000,937000000,952000000,966000000,980000000,994000000,1010000000,1020000000,1040000000,1050000000,1070000000,1090000000,1110000000,1130000000,1150000000,1170000000,1190000000,1200000000,1220000000,1230000000,1240000000,1250000000,1260000000,1270000000,1280000000,1280000000,1290000000,1300000000,1310000000,1310000000,1320000000,1330000000,1340000000,1340000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000,1400000000,1400000000,1410000000,1420000000
Colombia,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1220000,1220000,1230000,1240000,1250000,1260000,1270000,1280000,1290000,1310000,1320000,1340000,1360000,1380000,1400000,1430000,1450000,1480000,1500000,1530000,1560000,1590000,1620000,1650000,1680000,1710000,1740000,1770000,1800000,1830000,1850000,1880000,1910000,1940000,1960000,1990000,2010000,2040000,2060000,2090000,2110000,2130000,2160000,2180000,2200000,2220000,2230000,2250000,2270000,2290000,2320000,2340000,2370000,2390000,2420000,2450000,2480000,2520000,2550000,2580000,2620000,2660000,2700000,2740000,2790000,2840000,2890000,2930000,2990000,3040000,3090000,3150000,3200000,3260000,3310000,3370000,3430000,3490000,3560000,3620000,3680000,3750000,3810000,3880000,3960000,4030000,4110000,4190000,4270000,4350000,4440000,4530000,4630000,4720000,4820000,4920000,5020000,5120000,5230000,5350000,5480000,5620000,5770000,5920000,6080000,6230000,6390000,6560000,6730000,6900000,7080000,7270000,7460000,7650000,7850000,8010000,8140000,8240000,8340000,8440000,8540000,8640000,8740000,8850000,9000000,9200000,9440000,9690000,9950000,10200000,10500000,10800000,11100000,11400000,11700000,12000000,12300000,12700000,13100000,13400000,13800000,14200000,14600000,15100000,15500000,16000000,16500000,17000000,17500000,18000000,18600000,19100000,19700000,20300000,20900000,21500000,22100000,22600000,23100000,23700000,24200000,24800000,25300000,25900000,26500000,27100000,27700000,28400000,29000000,29700000,30400000,31000000,31700000,32300000,33000000,33600000,34300000,34900000,35600000,36200000,36800000,37400000,38000000,38600000,39200000,39800000,40400000,41000000,41600000,42200000,42700000,43300000,43800000,44400000,44900000,45400000,45900000,46400000,46900000,47300000,47800000,48200000,48700000,49100000,49500000
"Congo, Dem. Rep.",5160000,5160000,5160000,5160000,5160000,5160000,5160000,5160000,5160000,5160000,5160000,5170000,5170000,5170000,5180000,5190000,5200000,5210000,5220000,5240000,5260000,5270000,5290000,5320000,5340000,5370000,5390000,5420000,5450000,5490000,5520000,5560000,5590000,5630000,5670000,5710000,5740000,5780000,5820000,5860000,5900000,5940000,5980000,6020000,6060000,6100000,6140000,6180000,6220000,6260000,6300000,6340000,6380000,6420000,6470000,6510000,6550000,6590000,6640000,6680000,6730000,6770000,6810000,6860000,6900000,6950000,6990000,7040000,7090000,7130000,7180000,7230000,7270000,7320000,7370000,7420000,7460000,7510000,7560000,7610000,7660000,7710000,7760000,7810000,7860000,7910000,7970000,8020000,8070000,8120000,8180000,8230000,8280000,8340000,8390000,8450000,8500000,8560000,8610000,8670000,8730000,8790000,8840000,8900000,8960000,9020000,9080000,9130000,9190000,9250000,9320000,9380000,9440000,9500000,9560000,9620000,9690000,9750000,9820000,9880000,9950000,10000000,10100000,10100000,10200000,10300000,10300000,10400000,10500000,10600000,10600000,10700000,10800000,10800000,10900000,11000000,11100000,11100000,11200000,11300000,11400000,11400000,11500000,11600000,11700000,11700000,11800000,11900000,12000000,12000000,12200000,12400000,12700000,12900000,13200000,13500000,13800000,14200000,14500000,14900000,15200000,15600000,16000000,16500000,16900000,17400000,17900000,18400000,18900000,19500000,20000000,20600000,21100000,21700000,22300000,22900000,23600000,24200000,25000000,25700000,26400000,27000000,27700000,28400000,29100000,29900000,30700000,31500000,32400000,33500000,34600000,35900000,37300000,38800000,40300000,41600000,42800000,43800000,44800000,45900000,47100000,48400000,49800000,51400000,53000000,54800000,56500000,58400000,60400000,62400000,64500000,66700000,69000000,71300000,73700000,76200000,78700000,81300000,84000000
Egypt,4240000,4240000,4240000,4240000,4230000,4230000,4230000,4230000,4220000,4220000,4220000,4220000,4220000,4220000,4230000,4240000,4250000,4260000,4280000,4300000,4320000,4340000,4370000,4400000,4430000,4460000,4490000,4530000,4570000,4620000,4660000,4710000,4760000,4810000,4860000,4910000,4960000,5010000,5070000,5120000,5170000,5230000,5280000,5340000,5390000,5450000,5500000,5560000,5620000,5680000,5740000,5790000,5850000,5910000,5970000,6030000,6090000,6140000,6210000,6270000,6330000,6390000,6460000,6520000,6590000,6660000,6730000,6800000,6870000,6950000,7020000,7100000,7180000,7250000,7340000,7420000,7510000,7590000,7680000,7780000,7870000,7960000,8060000,8160000,8250000,8350000,8450000,8550000,8660000,8760000,8870000,8970000,9080000,9190000,9300000,9420000,9530000,9650000,9760000,9880000,10000000,10100000,10200000,10400000,10500000,10600000,10700000,10900000,11000000,11100000,11300000,11400000,11500000,11700000,11900000,12000000,12200000,12400000,12600000,12800000,13000000,13200000,13400000,13600000,13800000,14000000,14200000,14500000,14700000,14900000,15200000,15400000,15600000,15900000,16100000,16400000,16600000,16900000,17200000,17400000,17700000,18000000,18200000,18500000,18800000,19100000,19400000,19700000,20000000,20300000,20700000,21200000,21700000,22300000,22900000,23500000,24200000,24800000,25500000,26300000,27000000,27700000,28500000,29300000,30100000,30900000,31700000,32500000,33400000,34200000,35000000,35900000,36700000,37500000,38300000,39200000,40100000,41000000,42000000,43000000,44100000,45200000,46400000,47600000,48900000,50200000,51600000,53100000,54500000,56000000,57400000,58800000,60000000,61300000,62500000,63700000,64900000,66200000,67400000,68600000,69900000,71200000,72600000,74000000,75400000,76800000,78200000,79500000,81000000,82500000,84100000,85900000,87800000,89800000,91800000,93800000,95700000,97600000,99400000
Ethiopia,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2950000,2960000,2960000,2970000,2980000,2990000,3010000,3020000,3040000,3060000,3090000,3110000,3140000,3170000,3200000,3240000,3280000,3320000,3360000,3410000,3460000,3510000,3560000,3610000,3660000,3710000,3760000,3810000,3870000,3920000,3980000,4040000,4090000,4150000,4210000,4270000,4330000,4390000,4450000,4520000,4580000,4640000,4710000,4770000,4840000,4910000,4980000,5050000,5120000,5190000,5260000,5330000,5410000,5480000,5560000,5640000,5710000,5790000,5870000,5960000,6040000,6120000,6200000,6290000,6380000,6470000,6550000,6640000,6740000,6830000,6920000,7020000,7120000,7210000,7310000,7410000,7510000,7620000,7720000,7830000,7940000,8050000,8160000,8280000,8390000,8510000,8630000,8750000,8870000,8990000,9120000,9240000,9370000,9500000,9630000,9770000,9900000,10000000,10200000,10300000,10500000,10600000,10800000,10900000,11100000,11200000,11400000,11500000,11700000,11900000,12000000,12200000,12400000,12500000,12700000,12900000,13100000,13300000,13500000,13700000,13800000,14000000,14200000,14400000,14600000,14900000,15100000,15300000,15500000,15700000,15900000,16200000,16400000,16600000,16900000,17100000,17300000,17600000,17800000,18100000,18500000,18800000,19200000,19600000,19900000,20300000,20800000,21200000,21700000,22200000,22700000,23200000,23800000,24400000,25000000,25600000,26300000,26900000,27700000,28400000,29200000,30100000,31000000,31900000,32600000,33100000,33600000,34100000,34600000,35300000,36100000,37100000,38300000,39500000,40800000,42100000,43500000,44900000,46500000,48100000,49800000,51600000,53500000,55400000,57300000,59200000,61000000,62800000,64600000,66500000,68500000,70500000,72500000,74600000,76700000,78900000,81000000,83200000,85400000,87700000,90000000,92400000,94900000,97400000,99900000,102000000,105000000,108000000
France,29400000,29400000,29500000,29600000,29700000,29800000,29900000,30000000,30100000,30200000,30300000,30400000,30500000,30600000,30700000,30900000,31000000,31100000,31300000,31400000,31500000,31700000,31900000,32000000,32200000,32300000,32500000,32700000,32800000,33000000,33200000,33400000,33500000,33700000,33900000,34100000,34200000,34400000,34500000,34700000,34900000,35000000,35200000,35300000,35500000,35600000,35800000,35900000,36000000,36200000,36300000,36400000,36500000,36600000,36800000,36900000,37000000,37100000,37200000,37400000,37500000,37500000,37600000,37600000,37700000,37800000,37800000,37900000,38000000,38100000,38200000,38300000,38400000,38400000,38500000,38600000,38700000,38700000,38800000,38900000,39000000,39200000,39300000,39400000,39600000,39700000,39700000,39900000,39900000,40000000,40000000,40100000,40100000,40200000,40200000,40300000,40300000,40400000,40500000,40600000,40600000,40700000,40800000,40800000,40900000,41000000,41000000,41100000,41100000,41200000,41300000,41400000,41500000,41500000,41200000,40700000,40000000,39300000,38900000,38800000,39100000,39300000,39600000,40000000,40400000,40700000,40900000,41000000,41200000,41400000,41700000,41900000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,41700000,40900000,40100000,39400000,39200000,39300000,39700000,40300000,40800000,41200000,41600000,41900000,42100000,42400000,42700000,43100000,43500000,43900000,44400000,44800000,45300000,45900000,46500000,47100000,47800000,48400000,49000000,49400000,49800000,50100000,50500000,50800000,51300000,51700000,52200000,52600000,53000000,53300000,53500000,53700000,53900000,54100000,54300000,54500000,54800000,55100000,55400000,55700000,56000000,56300000,56700000,57000000,57200000,57500000,57700000,58000000,58200000,58500000,58800000,59000000,59300000,59600000,59900000,60200000,60600000,60900000,61200000,61600000,62000000,62300000,62700000,63000000,63300000,63600000,63900000,64200000,64500000,64700000,65000000,65200000
Germany,22900000,23000000,23100000,23200000,23300000,23400000,23500000,23600000,23700000,23800000,23900000,24000000,24100000,24300000,24400000,24600000,24700000,24900000,25100000,25300000,25500000,25700000,25900000,26200000,26400000,26600000,26900000,27200000,27400000,27700000,28000000,28300000,28600000,28900000,29300000,29600000,29900000,30200000,30500000,30700000,31000000,31300000,31600000,31900000,32100000,32400000,32700000,32900000,33200000,33400000,33700000,33900000,34200000,34500000,34700000,35000000,35300000,35600000,35800000,36100000,36400000,36700000,37000000,37300000,37600000,37900000,38200000,38600000,39000000,39300000,39700000,40100000,40500000,40900000,41200000,41600000,42000000,42400000,42800000,43200000,43600000,44100000,44600000,45000000,45500000,45900000,46400000,46800000,47300000,47800000,48300000,48900000,49500000,50100000,50800000,51500000,52200000,52900000,53700000,54600000,55400000,56300000,57100000,58000000,58900000,59800000,60700000,61600000,62400000,63400000,64200000,65100000,65900000,66700000,67300000,67600000,67600000,67200000,65300000,63700000,62400000,62900000,63400000,63800000,64200000,64600000,65100000,65500000,65900000,66300000,66600000,66900000,67300000,67600000,68000000,68400000,68900000,69500000,70200000,70900000,71400000,72000000,72200000,72000000,70700000,68800000,67500000,67600000,68700000,69500000,70000000,70300000,70600000,70900000,71200000,71500000,71900000,72200000,72500000,73000000,73400000,73900000,74500000,75100000,75700000,76300000,76800000,77400000,77800000,78300000,78600000,78800000,78900000,78900000,78900000,78900000,78800000,78700000,78600000,78500000,78300000,78100000,77900000,77800000,77700000,77700000,77800000,78100000,78400000,78700000,79100000,79600000,80000000,80500000,80900000,81200000,81400000,81500000,81500000,81500000,81500000,81500000,81600000,81700000,81700000,81700000,81500000,81300000,81100000,81000000,80900000,80900000,81100000,81300000,81500000,81700000,81900000,82100000,82300000
India,169000000,169000000,169000000,170000000,170000000,170000000,171000000,171000000,171000000,172000000,172000000,172000000,173000000,173000000,173000000,174000000,174000000,175000000,175000000,176000000,176000000,177000000,177000000,178000000,178000000,179000000,180000000,180000000,181000000,182000000,182000000,183000000,184000000,184000000,185000000,186000000,186000000,187000000,188000000,189000000,189000000,190000000,191000000,191000000,192000000,193000000,194000000,194000000,195000000,196000000,197000000,197000000,198000000,199000000,200000000,201000000,202000000,202000000,203000000,204000000,205000000,206000000,207000000,208000000,208000000,209000000,210000000,211000000,212000000,213000000,214000000,215000000,216000000,216000000,217000000,218000000,219000000,220000000,221000000,222000000,223000000,224000000,225000000,226000000,227000000,228000000,229000000,230000000,231000000,232000000,233000000,234000000,235000000,236000000,237000000,238000000,239000000,240000000,241000000,242000000,243000000,244000000,245000000,246000000,247000000,248000000,249000000,251000000,252000000,253000000,254000000,255000000,256000000,257000000,259000000,260000000,262000000,263000000,265000000,266000000,268000000,269000000,271000000,272000000,274000000,276000000,277000000,279000000,280000000,283000000,285000000,289000000,293000000,297000000,300000000,304000000,308000000,312000000,316000000,320000000,324000000,328000000,332000000,336000000,340000000,344000000,349000000,353000000,358000000,367000000,376000000,382000000,389000000,395000000,402000000,409000000,417000000,424000000,432000000,441000000,449000000,458000000,468000000,478000000,487000000,498000000,508000000,519000000,530000000,542000000,554000000,566000000,579000000,593000000,607000000,621000000,636000000,650000000,666000000,681000000,697000000,713000000,730000000,747000000,764000000,782000000,799000000,817000000,834000000,852000000,870000000,888000000,906000000,924000000,942000000,960000000,979000000,997000000,1020000000,1030000000,1050000000,1070000000,1090000000,1110000000,1130000000,1140000000,1160000000,1180000000,1200000000,1210000000,1230000000,1250000000,1260000000,1280000000,1290000000,1310000000,1320000000,1340000000,1350000000
