country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,23.3,,,,,,22.2,,,22.5,,,22.2,,,,22.8,,,,,
Algeria,,,,,,,,,,20.6,,,,,,,22.6,,,,,,,,,,,,,,,,22.3,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,21.9,,,,,,,,,
Argentina,,22.6,,,,,,21.9,21.5,,,,20.4,21.5,22,21.6,20.8,21.2,21.3,21,21.3,21.3,21.1,20.3,21.9,22.4,22.4,22.7,22.7,23.1,23.2,22.9,22.9,23.4,23.5,23.4,,22.7,
Armenia,,,,,,,,,,,,,,,,,,,,,21.2,,20.9,20.8,20.8,20.2,20.2,22.1,22.1,22.4,22.4,21.7,22.2,22,22.2,22,21.8,22.8,
Australia,,,23.4,,,,23.1,,,,23.2,,,,,,22.9,,,,,,23.1,,23.1,,,,,22.5,,22.7,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,22.7,22.5,22.8,22.6,22.9,22.6,22.6,22.9,23,23,22.7,22.7,22.9,,
Azerbaijan,,,,,,,,,,,,,,,,,22.5,,,,,,21.2,21.7,22.2,21.6,21.5,,,,,,,,,,,,
Bangladesh,,,,,22.3,,21.7,,,21.6,,,22,,,,20.6,,,,,21,,,,,20.9,,,,,21.2,,,,,,21.4,
Belarus,,,,,,,,,,,,,,,,,,,,22.6,23.2,23,22.7,22.6,22.8,22.9,23,22.9,22.5,22.9,22.4,22.8,22.8,22.5,22.5,22.4,22.4,21.9,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,22.7,21.9,22.2,22.7,22.3,22.7,22.7,22.5,22.7,22.8,23,22.8,22.7,,
Belize,,,,,,,,,,,,,,,16.2,15.2,,17.6,16.6,19.1,19.4,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,,,,,,20.2,,,,20.8,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,22.1,,,,,21.4,,,,,22.7
Bolivia,,,,,,,,,,,,22,,,,,,,18.8,,20.8,18.8,19.5,18.9,,18.8,19.2,19.8,19.8,20.9,21.3,,22.2,22.5,21.7,21.3,21.8,22.8,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,22.1,,,22.4,,,23,,,,22.9,,,,22.8,,
Botswana,,,,,,,19.2,,,,,,,,16.4,,,,,,,,,15.8,,,,,,,16.9,,,,,,,,
Brazil,,,18.4,18.3,18.1,18.1,19.6,18.2,18.1,17.5,16.8,17.9,,20.8,17.5,,17.9,18.2,18.1,17.9,18,,18.5,18.4,18.7,18.8,18.7,18.8,19.2,19.3,19.4,,19.5,19.4,19.4,19.7,19.7,,
Bulgaria,,,,,,,,,,,,,,22.3,,,,,,,,,,,,,,23,22.3,22.6,22.8,22.7,22.7,22.4,22.6,22.1,,,
Burkina Faso,,,,,,,,,,,,,,,,18.8,,,,17.5,,,,,20.9,,,,,,20.9,,,,,20.6,,,
Burundi,,,,,,,,,,,,,,22,,,,,,21.5,,,,,,,,21,,,,,,,20.8,,,,
Cameroon,,,,,,,,,,,,,,,,,,19.6,,,,,20.6,,,,,,21.5,,,,,,,21.6,,,
Canada,,,23.2,,,,,,23,,,,23.1,,,23,,,23.1,22.8,,22.8,,,,22.9,,,22.6,,,22.7,,,23.3,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,20,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,18.5,,,,,,,,,,,21.8,,,,,17.7,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,21.8,,,,,,
Chile,,,,,,,,,17.9,,,17.3,,17.9,,17.7,,18.2,,18,,18.7,,,19.1,,,19.7,,,19.2,,19.4,,19.2,,19.7,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,22.3,,,,,
Colombia,,,,,,,,,,,,,,19.4,,,,18.5,,,18.2,18.1,18.4,18.4,18.9,18.4,18.8,,,19,19.2,19,19.3,19.7,19.6,19.5,20,19.9,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,22.2,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,21.6,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,,,20.7,,,,,,
Costa Rica,,,22.8,,,,,24.9,,,22.4,22.5,22.1,22,22.1,21.4,22,21.9,21.8,21.7,21.1,21.5,20.1,19.7,21.1,21.1,21,20,19.7,20.3,19.9,20.4,20.7,20.6,20.7,20.8,20.6,20.6,
Cote d'Ivoire,,,,,,,20.7,21.6,21,22.5,,,,22.3,,,21.1,,,21.4,,,,20.6,,,,,,21.7,,,,,,,21.6,,
Croatia,,,,,,,,,,22.6,,,,,,,,,,,,,,,,,,,,,23.3,23.5,23.6,23.7,23.6,23.6,23.5,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,22,21.6,21.9,21.6,21.9,21.8,21.7,21.4,20.7,21.3,21.7,,
Czech Republic,,,,,,,,,,,,,,,21.4,,,21.7,,,,,,,,21.9,21.7,21.9,21.8,21.6,21.9,22,22,21.9,21.8,21.9,21.9,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,22.5,22.6,22.5,22.3,22.1,22.5,22.5,22.3,22.3,22.1,21.9,22,21.8,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,21.2,20.9,,,,
Dominican Republic,,,,,,,,21.4,,,19.9,,,18.9,,,,20.7,20.6,,,20,19.8,20.5,19.3,19.1,19.9,19.4,19.9,20.3,19.9,20.9,20.5,20.7,20,21.5,21,20.9,
Ecuador,,,,,,,,,20.9,,,,,,,19.1,,,,20.7,17.7,18.1,,,19.5,19.4,19.9,19.6,19.4,20.6,20.8,20.5,21.7,21.6,21,21.2,21.3,21.4,
Egypt,,,,,,,,,,,,21.4,,,,,21.2,,,,20.7,,,,,20.8,,,,20.8,,20.8,,21,,,20.6,,
El Salvador,,,,,,,,,,,,,20.1,,,,20.2,20.2,,20.8,21.3,20.5,20.9,20.9,21.6,21.6,21,20.8,20.5,20.8,20.5,21.5,21.3,21.3,20.7,21.4,21.4,21.9,
Estonia,,,,,,,,,,,,,,,21.3,,,,,,,,,,22,22.4,22.3,21.9,23,22.6,22.5,22.8,22.8,22.6,22.6,22.6,23.2,,
Ethiopia,,,,,,,,,,,,,,,,,18.8,,,,21.5,,,,,21.4,,,,,,21.3,,,,,20.6,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,20.5,,,,,21.3,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,22.1,22.2,22.2,22.4,22.3,22.4,22.4,22.6,22.4,22.5,22.6,22.5,22.4,,
France,,,,,,,,,,,,,,,,,,,,,,,,,22.3,22.4,22.5,22.7,21.9,21.9,22.1,21.8,21.9,21.8,21.8,22,21.7,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,,,23
Gambia,,,,,,,,,,,,,,,,,,,,20.3,,,,,20.7,,,,,,,20.5,,,,,21.8,,
Georgia,,,,,,,,,,,,,,,,,,22.7,22.8,22.2,22.5,22.4,22.1,22.5,23,23.1,22.9,22.9,22.4,22.6,22.5,22.4,22.4,22.4,22.5,22.4,22.6,22.2,
Germany,,,,,,,,,,,,,23,,,22.8,,,,,,22.7,22.4,,,22.4,,22.3,22.1,,,22.6,22.4,,22.5,,22.6,,
Ghana,,,,,,,,,22.3,22.1,,,21.7,,,,,,,22.7,,,,,,,21.7,,,,,,,21.9,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,23.3,23,22.8,22.7,22.6,22.5,22.5,22.9,23.3,23.2,23.2,23.3,23.5,,
Guatemala,,,,,,,,18.3,,,18.8,,,,,,,,,,,18.4,,,,,,19.2,,,,,,,,20.1,,,
Guinea,,,,,,,,,,,,,23.9,,,20.6,,,,,,,,20.9,,,,,22,,,,,22.4,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,21,,,,,,,,,22,,,,,,,,18.3,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,
Honduras,,,,,,,,,,,17.8,18.8,19.5,19.2,19.3,19.2,19,19.4,19.6,19.3,20.1,,20.6,20,19.3,19.3,19,19.8,19.5,19.7,21,20.6,19,19.2,20.3,20.7,21.4,21.5,
Hungary,,,,,,,,,22.3,,22.1,,,,21.5,,,,,,,,,,,22.3,21.6,22.6,22.8,22.8,23,22.9,22.7,22.8,22.7,22.9,22.9,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,22,21.8,21.6,21.5,21.7,21.2,21.8,22.1,22.4,22.3,22.5,21.9,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,
Iran,,,,,,,,20.7,,,,21.4,,,,21.4,,,,21.5,,,,,,,21.3,21.4,,,22.3,,,,22,21.9,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,22.5,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,22.3,22.3,21.9,22.5,22.3,22.6,22.3,22.6,22.5,22.3,22.3,22.5,22.1,,
Israel,23.3,,,,,,,23.3,,,,,,22.9,,,,,22.9,,,,23,,,,23.2,,23.3,,,22.9,,23.5,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,22.6,22.6,23,22.9,23,22.9,23.1,22.8,22.8,22.8,23.1,23.3,23.5,,
Jamaica,,,,,,,,,,21.2,,21.3,,,22.4,,,20.7,,,20.2,,,20,,20.6,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,
Jordan,,,,,,,,22.1,,,,,,20.4,,,,,21.1,,,,,21.3,,,,21.5,,21.5,,21.5,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,23.2,,,,,22.8,22.5,22.8,22.5,22.5,21.9,22,22.1,22.4,22.3,22.4,22.5,22.4,22.2,22.2,,
Kenya,,,,,,,,,,,,,,17.3,,21.3,,,20.2,,,,,,,,20.4,,,,,,,,,,21.5,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,21.5,,22.1,22.5,22.6,22.5,22.1,21.9,21.7,22.4,22.3,21.9,22,22,21.9,22.1,22,21.5,21.8,
Lao,,,,,,,,,,,,,,21.3,,,,,20.7,,,,,21.3,,,,,20.9,,,,,21,,,,,
Latvia,,,,,,,,,,,,,,,22.6,,22.1,22,,,,,,,,21.9,22,22.8,22.7,22.9,22.7,22.7,22.2,22.5,22.6,22.7,22.8,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,
Lesotho,,,,,,,,19.5,,,,,,,,18.8,,,,,,,,21.3,,,,,,,,20.3,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,22.3,,,
Lithuania,,,,,,,,,,,,,,,21.3,,,,,,,,,,,22.2,22,22.1,22.4,22.1,22.7,23.2,23,22.6,22.4,22.3,22.1,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,22.8,22.6,22.3,22.4,22.2,22.2,22.9,22.9,23,22.7,23.2,22.9,23.1,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24.4,24.5,24.2,24.3,24.3,,,
Madagascar,,20.4,,,,,,,,,,,,,19.6,,,,21.9,,22.6,,20.4,,,,20.5,,,,,20.1,,20.7,,,,,
Malawi,,,,,,,,,,,,,,,,,,,11.7,,,,,,,20.3,,,,,,20,,,,,,,
Malaysia,,,,,,20.1,,,20.5,,20.5,,,20.6,,,20.4,,20.3,,,,,,,21.6,,,21.6,21.8,,,21.8,,21.7,,22,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,21.9,,,,,,,,
Mali,,,,,,,,,,,,,,,,19.3,,,,,,,22.2,,,,,21.6,,,22.5,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,23.1,23.1,22.7,23,22.6,22.5,22.5,22.5,22.5,,
Mauritania,,,,,,,,,22.6,,,,,,18,,22.4,,,,,22.3,,,,20.6,,,,23.4,,,,,,23,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,21.2,,,,,
Mexico,,,,,,21.1,,,,,,,,20.3,,19.6,,20.2,,20.6,,19.3,,19.8,,19.6,19.8,19.8,,20.6,,20.5,,20.3,,19.6,,20.4,
