country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,9.2,,,,,,8.4,,,8.4,,,8.9,,,,8.9,,,,,
Algeria,,,,,,,,,,6.5,,,,,,,7,,,,,,,,,,,,,,,,9.4,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,5.4,,,,,,,,,
Argentina,,5.3,,,,,,5.1,4.6,,,,4.8,4.6,4.5,4.4,3.8,3.5,3.6,3.4,3.5,3.2,2.6,2.8,3.2,3.5,3.6,3.7,3.9,4,4,4.6,4.8,4.9,5,5.1,,5,
Armenia,,,,,,,,,,,,,,,,,,,,,7.6,,7.7,8,8.7,7.6,8.1,8.9,8.4,9.1,9.4,9.1,9,9,8.6,8.4,8.2,7.9,
Australia,,,7.7,,,,7.5,,,,7.3,,,,,,7.6,,,,,,7.4,,7.4,,,,,7.2,,7.3,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.6,8.8,8.6,8,8,7.7,8.1,7.8,7.8,8.1,8,7.9,,
Azerbaijan,,,,,,,,,,,,,,,,,7.1,,,,,,7.4,12.9,12.2,13.3,13.4,,,,,,,,,,,,
Bangladesh,,,,,9.7,,10,,,9.4,,,9.6,,,,8.8,,,,,8.6,,,,,8.8,,,,,8.9,,,,,,8.6,
Belarus,,,,,,,,,,,,,,,,,,,,7.9,7.6,7.9,8.2,8.3,8.6,9.4,8.9,8.8,8.6,9,9.1,8.8,9.2,9.5,9.5,9.3,9.5,9.6,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.4,8.7,8.7,8.6,8.7,8.5,8.6,8.6,8.7,8.6,8.6,8.6,,
Belize,,,,,,,,,,,,,,,3,3.1,,3.4,2.6,3.3,3.2,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,6.1,,,,3.2,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,6.7,,,,,6.7,,,,,6.7
Bolivia,,,,,,,,,,,,5.6,,,,,,,2,,1.3,1.1,1.9,1.7,,3.1,2,2.3,2.9,3.2,3.2,,3.8,3.4,3.6,3.8,3.9,3.9,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,8.8,,,7.4,,,7.5,,,,7.5,,,,7.7,,
Botswana,,,,,,,3.6,,,,,,,,3,,,,,,,,,2.3,,,,,,,2.8,,,,,,,,
Brazil,,,2.7,2.6,2.6,2.7,2.9,2.7,2.4,2.1,2,2.3,,2.8,2.4,,2.4,2.2,2.3,2.4,2.5,,2.5,2.6,2.6,2.9,2.9,3,3,3.2,3.2,,3.3,3.4,3.4,3.7,3.6,,
Bulgaria,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,5.7,6.5,6.9,6.8,6.3,6.4,6.2,5.7,6,,,
Burkina Faso,,,,,,,,,,,,,,,,5.5,,,,5.1,,,,,5.8,,,,,,6.7,,,,,8.3,,,
Burundi,,,,,,,,,,,,,,7.9,,,,,,5.1,,,,,,,,8.9,,,,,,,6.9,,,,
Cameroon,,,,,,,,,,,,,,,,,,6.1,,,,,6.2,,,,,,5.8,,,,,,,4.5,,,
Canada,,,7.3,,,,,,7.6,,,,7.7,,,7.6,,,7.4,7.1,,7.1,,,,7,,,7.2,,,7.2,,,6.6,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,5,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,2,,,,,,,,,,,5.2,,,,,3.3,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,4.9,,,,,,
Chile,,,,,,,,,3.3,,,3.4,,3.8,,3.5,,3.6,,3.5,,3.8,,,4,,,4.6,,,4.6,,4.9,,5.1,,4.8,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,5.2,,,,,
Colombia,,,,,,,,,,,,,,3.7,,,,2.4,,,2,1.9,2.4,3.1,3.5,3.5,3.6,,,3,3.2,3.3,3.4,3.5,3.5,3.5,3.8,3.9,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4.5,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,5.5,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,4.2,,,,,,
Costa Rica,,,3.3,,,,,5.2,,,3.2,3.8,3.6,4,3.9,4,4,3.8,4.2,4.3,3.9,3.9,3.5,3.5,3.7,4,4.2,4.1,4.3,4.3,4,4.4,4.2,4.2,4.1,4.2,4.3,4.2,
Cote d'Ivoire,,,,,,,4.9,6.9,6.3,6.8,,,,6,,,6.6,,,6.4,,,,6.1,,,,,,5.1,,,,,,,5.7,,
Croatia,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,7,6.9,6.9,6.9,7.1,7.1,7.3,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,8.9,8.8,8.7,8.7,8.5,8.6,8.4,8,7.7,7.6,7.9,,
Czech Republic,,,,,,,,,,,,,,,10.4,,,10.2,,,,,,,,9.1,9.3,9.3,9.7,9.8,9.6,9.4,9.3,9.6,9.5,9.7,9.7,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.9,9.8,9.8,9.8,9.8,9.2,9.3,9.4,9.3,9.1,9.1,9.4,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,4.3,4.9,,,,
