country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Bangladesh,876,876,876,876,876,876,876,876,876,875,875,875,875,875,875,875,875,875,875,875,874,875,875,875,875,875,875,875,875,876,876,876,876,876,876,876,876,877,877,877,877,877,877,877,877,878,878,878,878,878,878,878,878,879,879,879,879,879,879,879,880,880,880,880,880,880,880,881,881,881,881,883,885,887,890,892,894,896,898,901,903,905,907,909,912,939,907,947,954,927,968,878,947,969,982,957,885,1050,1050,962,995,1010,1090,1100,1090,1070,1090,1020,1030,1160,1160,1150,1150,1120,1180,1150,1180,1160,1010,1150,1060,1130,1170,1120,1170,1170,1200,1190,1190,1230,1230,1200,1200,1190,1190,1160,1190,1160,1140,1150,1180,1190,1170,1200,1180,1150,1080,1070,1070,1090,1030,1040,1050,1050,1050,977,1060,1020,985,1020,1060,1090,1070,1160,1150,1190,1180,1130,1210,1210,1240,1150,994,979,1080,1050,1070,1050,1090,1110,1090,1100,1080,1110,1140,1150,1180,1210,1220,1230,1290,1300,1340,1370,1400,1440,1470,1510,1550,1590,1640,1690,1730,1780,1840,1930,2030,2150,2250,2340,2440,2570,2710,2840,2970,3130,3320,3520,3720,3940,4170,4410,4640,4860,5060,5240,5400,5540,5680,5810,5940,6080,6210,6350,6490,6630,6780,6930,7090,7240,7400
Brazil,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1120,1120,1120,1120,1130,1130,1130,1130,1140,1140,1140,1140,1150,1150,1150,1150,1160,1160,1160,1160,1170,1170,1170,1170,1180,1180,1180,1180,1190,1270,1230,1160,1120,1130,1170,1250,1330,1320,1360,1350,1280,1310,1330,1430,1480,1600,1600,1600,1490,1490,1540,1490,1520,1540,1480,1440,1510,1520,1450,1470,1500,1460,1560,1450,1500,1400,1340,1360,1490,1590,1370,1170,1170,1390,1260,1240,1270,1250,1200,1350,1310,1320,1300,1320,1460,1440,1370,1470,1490,1530,1590,1600,1530,1500,1470,1570,1490,1570,1720,1700,1780,1880,1850,1800,1830,1980,2140,2100,2000,1870,1900,2010,2130,2140,2330,2370,2410,2400,2310,2350,2210,2340,2450,2460,2660,2640,2810,2930,3030,3080,3190,3230,3370,3550,3520,3670,3940,4190,4440,4670,4830,4700,4710,4670,4840,4890,5220,5560,5940,6470,7090,7910,8370,8610,9280,9520,9770,10200,10900,10200,10100,9600,9930,10500,11100,11300,11100,11200,10300,10300,10100,10400,10800,11100,11100,11300,11200,11100,11400,11400,11600,11500,12100,12300,12600,13300,13800,13700,14500,15000,15100,15400,15400,14700,14000,14200,14300,14500,14600,14800,14900,15100,15300,15600,15900,16200,16500,16900,17200,17600,18000,18400,18800,19200,19700,20100,20600,21000,21500
China,984,984,984,984,984,984,984,984,984,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,985,1030,1030,999,973,979,979,986,995,992,985,975,1020,1010,991,983,1010,999,1030,1010,1020,1040,1070,1090,1100,1070,1090,1090,1110,1100,1100,1080,1090,1060,1000,1030,1060,1000,1010,1030,1020,1010,1000,1000,977,973,959,940,945,955,918,932,916,921,911,939,895,904,875,881,893,892,922,916,935,855,897,917,945,956,990,982,937,935,946,957,967,978,989,1000,1010,1020,1020,1030,1030,1040,1040,1050,1050,1060,1060,1050,1060,1050,942,1000,1050,1010,974,905,842,783,728,677,630,586,571,557,543,530,536,583,632,694,696,708,738,782,892,961,891,560,569,638,715,774,829,722,671,735,851,879,846,898,892,924,896,909,1020,1060,1080,1110,1180,1240,1460,1570,1610,1660,1610,1480,1530,1650,1860,2090,2340,2560,2790,3020,3220,3440,3700,3980,4320,4720,5170,5720,6410,7290,7950,8650,9530,10400,11100,12000,12800,13600,14400,15200,16000,16900,17800,18700,19700,20600,21400,22100,22800,23400,23900,24500,25000,25600,26200,26800,27300,27900,28600,29200,29800,30500,31200
Colombia,962,962,962,963,963,963,963,963,963,963,964,964,964,964,964,964,964,965,965,965,965,968,970,973,975,978,980,983,985,988,990,993,995,998,1000,1000,1010,1010,1010,1010,1020,1020,1020,1020,1030,1030,1030,1040,1040,1040,1040,1050,1050,1050,1050,1060,1060,1060,1070,1070,1070,1070,1080,1080,1080,1080,1090,1090,1090,1100,1100,1100,1100,1110,1110,1110,1120,1120,1120,1120,1130,1130,1130,1140,1140,1140,1140,1150,1150,1150,1160,1160,1160,1170,1170,1170,1170,1180,1180,1180,1190,1190,1190,1200,1200,1200,1210,1270,1310,1360,1410,1440,1480,1500,1520,1540,1570,1590,1630,1720,1780,1830,1890,1950,1990,2030,2160,2280,2380,2380,2320,2240,2350,2440,2550,2560,2650,2650,2770,2850,2820,2780,2690,2620,2710,2750,2930,2950,2940,3110,3140,3110,3200,3240,3360,3370,3410,3400,3340,3460,3480,3530,3590,3590,3680,3710,3800,3820,3940,4080,4240,4390,4630,4850,5050,5090,5260,5420,5810,6050,6220,6280,6250,6260,6350,6440,6700,6970,7170,7310,7530,7560,7800,7840,8160,8440,8480,8630,8550,8070,8310,8330,8420,8630,8960,9260,9760,10300,10500,10600,10900,11500,11800,12300,12700,13000,13100,13400,13700,14000,14300,14600,14900,15200,15500,15900,16200,16600,16900,17300,17700,18100,18500,18900,19300,19700,20200,20600,21100,21500,22000
"Congo, Dem. Rep.",485,487,489,491,493,495,497,499,501,503,505,507,509,511,513,515,518,520,522,524,526,528,531,533,535,537,539,542,544,546,548,551,553,555,558,560,562,565,567,569,572,574,576,579,581,584,586,588,591,593,596,598,601,603,606,608,611,613,616,618,621,623,626,629,631,634,636,639,642,644,647,650,652,655,658,661,663,666,669,672,674,677,680,683,686,688,691,694,697,700,703,706,709,712,715,717,720,723,726,729,732,735,739,742,745,748,751,754,757,760,763,766,770,773,788,803,819,835,852,868,885,902,920,937,956,974,993,1010,1030,1050,1070,1090,1110,1140,1160,1180,1200,1220,1250,1270,1300,1320,1350,1370,1400,1430,1450,1480,1510,1540,1570,1760,1850,2000,2050,2140,2210,2190,2100,2090,2240,1960,2170,2160,2120,2030,2100,2010,2070,2170,2110,2210,2160,2270,2340,2050,1850,1790,1640,1590,1580,1580,1530,1510,1550,1510,1540,1530,1490,1420,1280,1130,973,809,750,731,704,648,623,583,529,504,504,516,534,549,559,575,591,588,609,630,653,685,726,750,742,745,751,759,763,768,774,782,792,805,820,836,854,872,891,911,931,952,973,995,1020,1040,1060,1090,1110
Egypt,790,791,791,791,791,791,791,791,791,791,792,792,792,792,792,792,792,792,793,793,793,796,800,804,808,811,815,819,823,826,830,834,838,842,846,850,854,857,861,865,869,873,877,882,886,890,894,898,902,906,910,915,919,923,927,932,936,940,945,949,953,958,962,967,971,976,980,985,989,994,998,1000,1010,1000,992,984,976,968,960,952,960,987,1020,1050,1080,1110,1120,1130,1140,1150,1170,1180,1190,1200,1220,1230,1240,1250,1270,1280,1290,1310,1320,1340,1350,1360,1330,1340,1370,1350,1360,1390,1390,1420,1360,1400,1390,1350,1330,1370,1250,1270,1350,1430,1500,1520,1520,1540,1560,1560,1510,1530,1570,1630,1630,1670,1690,1700,1650,1620,1630,1630,1560,1580,1600,1630,1650,1670,1690,1700,1720,1720,1800,1850,1760,1730,1720,1760,1890,1930,2030,2080,2080,2100,2410,2480,2420,2350,2430,2580,3020,3050,3100,3050,3060,3150,3500,3690,3890,4200,4510,4480,4680,4960,5210,5440,5560,5670,5780,5830,5910,5840,5970,6010,6130,6290,6480,6710,6860,7140,7390,7510,7540,7640,7800,8000,8400,8840,9310,9560,9860,9820,9820,9810,9880,10100,10300,10500,10800,11200,11500,11800,12000,12300,12600,12900,13200,13500,13800,14100,14400,14700,15100,15400,15700,16100,16400,16800,17200,17600,17900
Ethiopia,523,523,523,523,523,523,523,523,523,523,523,523,524,524,524,524,524,524,524,524,524,524,524,525,525,525,525,525,526,526,526,526,526,526,527,527,527,527,527,528,528,528,528,528,529,529,529,529,529,529,530,530,530,530,530,531,531,531,531,531,531,532,532,532,532,532,533,533,533,533,533,533,534,534,534,534,534,535,535,535,535,535,535,536,536,536,536,536,537,537,537,537,537,538,538,538,538,538,538,539,539,539,539,539,540,540,540,540,540,541,541,541,541,541,542,543,544,545,545,546,547,548,549,550,551,552,553,555,556,557,558,559,560,561,562,563,564,565,566,567,569,570,571,572,573,574,575,576,577,578,579,586,593,617,607,628,638,622,631,636,656,668,678,690,698,726,746,777,799,809,778,791,803,798,779,728,716,704,654,712,715,716,703,735,696,597,634,700,681,657,652,584,515,562,560,575,626,626,587,600,618,650,642,610,673,732,790,857,925,980,1070,1160,1230,1330,1430,1530,1610,1700,1800,1900,2010,2130,2240,2340,2440,2520,2600,2670,2730,2800,2860,2920,2990,3060,3120,3190,3260,3340,3410,3490,3560
France,1800,1810,1810,1810,1820,1820,1820,1830,1830,1830,1840,1840,1850,1850,1850,1860,1860,1860,1870,1870,1880,1990,1840,1830,1790,1800,1850,1860,1740,1840,1800,1780,1910,1900,1880,1970,2010,2030,2070,2030,2180,2120,2070,2150,2210,2280,2420,2640,2050,2050,2150,2110,2380,2640,2960,3110,3230,3110,2900,2900,3080,3150,3250,3340,3390,3330,3470,3410,3640,3420,3300,3450,3630,3580,3730,3650,3610,3590,3390,3350,3550,3780,3910,3740,3540,3440,3390,3420,3500,3510,3640,3680,3750,3610,3960,3880,4000,3890,4110,4260,4310,4100,4050,4180,4260,4370,4300,4650,4630,4770,4540,5000,5420,5370,4500,3970,4550,4500,3860,4260,4550,4320,5190,5430,6030,6070,6280,6160,6520,7080,6830,6530,5960,6140,5930,5790,5870,6010,5860,6110,4820,4670,4700,4690,3600,4430,5910,6230,6990,7370,7920,8310,8450,8630,9010,9460,9920,10500,10700,10900,11700,12200,12800,13200,14000,14500,15200,15800,16300,17400,18200,18900,19600,20500,21000,20900,21700,22300,23000,23700,24000,24200,24800,25200,25500,26000,26500,27000,28100,29000,29500,29800,30100,29800,30400,30900,31300,31900,32900,33800,34900,35300,35500,35500,36200,36500,37100,37800,37600,36300,36900,37500,37300,37400,37500,37800,38100,38500,39000,39500,40000,40500,41000,41700,42400,43100,44000,44900,45900,46900,47900,49000,50100,51200,52300,53500,54600,55900,57100,58400,59600
Germany,1640,1650,1660,1670,1690,1700,1710,1720,1730,1750,1760,1770,1780,1800,1810,1820,1830,1850,1860,1870,1890,1900,1910,1930,1940,1950,1970,1980,2000,2010,2020,2030,2040,2050,2050,2060,2070,2080,2090,2090,2100,2110,2120,2120,2130,2140,2150,2160,2170,2170,2180,2150,2180,2160,2210,2170,2340,2440,2410,2390,2510,2420,2520,2680,2730,2710,2710,2700,2850,2850,2820,2780,2960,3060,3260,3240,3180,3120,3230,3110,3060,3110,3140,3290,3350,3400,3400,3500,3600,3660,3730,3680,3800,3940,3990,4130,4210,4270,4380,4470,4590,4420,4450,4630,4750,4780,4860,5000,5010,5050,5160,5270,5470,5690,4790,4560,4630,4680,4740,4130,4480,4970,5410,4500,5270,5850,6010,6610,6900,6880,6780,6270,5800,6170,6730,7220,7840,8290,8880,9660,9690,10300,10400,10700,11100,8260,4070,4490,5240,6100,7230,7860,8540,9220,9900,11000,11700,12300,12800,13700,14800,15300,15800,16200,17000,17800,18200,18200,19200,20300,21100,21600,22400,23400,23600,23500,24800,25600,26300,27400,27600,27700,27500,28100,29000,29700,30300,30800,31700,32500,31300,32600,33000,32500,33200,33700,33800,34400,35100,35800,36800,37300,37300,37000,37400,37700,39100,40500,41000,38800,40400,42700,42800,42900,43400,43800,44100,44600,45200,45700,46300,46900,47600,48300,49100,50000,51000,52100,53200,54400,55600,56800,58100,59400,60700,62000,63400,64800,66200,67700,69200
India,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1070,1070,1070,1070,1080,1080,1080,1080,1090,1090,1090,1090,1130,1090,1140,1150,1110,1160,1050,1140,1160,1180,1150,1060,1250,1260,1160,1190,1210,1300,1320,1310,1280,1310,1220,1230,1400,1390,1370,1360,1320,1380,1340,1370,1340,1160,1310,1200,1270,1300,1230,1260,1250,1270,1240,1230,1260,1240,1210,1190,1170,1150,1110,1130,1090,1070,1070,1080,1080,1050,1070,1040,1000,933,920,913,917,904,904,907,941,957,957,987,953,998,996,1040,1040,1040,1060,1120,1040,1030,1090,1090,1130,1160,1140,1110,1140,1130,1200,1190,1250,1290,1200,1260,1310,1320,1400,1420,1450,1480,1510,1630,1700,1760,1740,1800,1850,1930,2040,2150,2200,2290,2450,2500,2570,2620,2780,2960,3180,3420,3700,3790,4050,4410,4640,4830,5070,5390,5750,6090,6480,6890,7340,7800,8270,8720,9160,9550,9900,10200,10500,10800,11000,11300,11500,11800,12000,12300,12600,12800,13100,13400,13700,14000
